TimeGenerated,RemoteIP,AccountName,DeviceName,ActionType,LogonType
"Sep 12, 2026 1:52:02 AM",,dwm-2,sql-labuser,LogonSuccess,Interactive
"Sep 12, 2026 1:52:03 AM",,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 12, 2026 1:52:03 AM",10.0.8.7,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 12, 2026 1:52:03 AM",10.0.8.7,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 13, 2026 9:42:09 PM",-,umfd-0,sql-labuser,LogonAttempted,Unknown
"Sep 13, 2026 9:42:09 PM",,umfd-0,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 9:42:09 PM",-,umfd-1,sql-labuser,LogonAttempted,Unknown
"Sep 13, 2026 9:42:09 PM",,umfd-1,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 9:42:10 PM",-,dwm-1,sql-labuser,LogonAttempted,Unknown
"Sep 13, 2026 9:42:10 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 9:42:10 PM",,dwm-1,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 11:00:24 PM",,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 13, 2026 11:00:24 PM",10.0.8.9,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 13, 2026 11:00:25 PM",-,umfd-2,sql-labuser,LogonAttempted,Unknown
"Sep 13, 2026 11:00:25 PM",,umfd-2,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 11:00:25 PM",-,dwm-2,sql-labuser,LogonAttempted,Unknown
"Sep 13, 2026 11:00:25 PM",,dwm-2,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 11:00:25 PM",,dwm-2,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 11:00:26 PM",,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 13, 2026 11:00:26 PM",10.0.8.9,sql-labuser,sql-labuser,LogonAttempted,Unknown
"Sep 13, 2026 11:00:26 PM",10.0.8.9,sql-labuser,sql-labuser,LogonSuccess,RemoteInteractive
"Sep 13, 2026 11:10:52 PM",,sql-labuser,sql-labuser,LogonFailed,Interactive
"Sep 13, 2026 11:28:54 PM",10.0.8.4,sql-labuser,sql-labuser,LogonSuccess,Network
"Sep 13, 2026 11:28:55 PM",-,umfd-3,sql-labuser,LogonAttempted,Unknown
"Sep 13, 2026 11:28:55 PM",,umfd-3,sql-labuser,LogonSuccess,Interactive
"Sep 13, 2026 11:28:56 PM",-,dwm-3,sql-labuser,LogonAttempted,Unknown
