TimeGenerated,DeviceName,ActionType,RemoteIP,RemotePort,RemoteUrl,LocalIP,LocalPort,Protocol,InitiatingProcessAccountName,InitiatingProcessFileName,InitiatingProcessCommandLine
"Sep 13, 2026 9:45:18 PM",sql-labuser,ConnectionSuccess,20.165.94.46,443,msedge.api.cdp.microsoft.com,10.1.0.100,49929,Tcp,system,microsoftedgeupdate.exe,"""MicrosoftEdgeUpdate.exe"" /svc"
"Sep 13, 2026 9:45:16 PM",sql-labuser,SslConnectionInspected,57.154.63.210,443,,10.1.0.100,49928,Tcp,,,
"Sep 13, 2026 9:45:15 PM",sql-labuser,ConnectionAcknowledged,57.154.63.210,443,,10.1.0.100,49928,TcpV4,,,
"Sep 13, 2026 9:45:14 PM",sql-labuser,DnsConnectionInspected,168.63.129.16,53,,10.1.0.100,57193,Udp,,,
"Sep 13, 2026 9:45:13 PM",sql-labuser,ConnectionSuccess,57.154.63.210,443,settings-win.data.microsoft.com,10.1.0.100,49928,Tcp,system,svchost.exe,svchost.exe -k utcsvc -p
"Sep 13, 2026 9:45:02 PM",sql-labuser,SslConnectionInspected,172.202.65.10,443,,10.1.0.100,49921,Tcp,,,
"Sep 13, 2026 9:45:02 PM",sql-labuser,SslConnectionInspected,104.208.170.163,443,,10.1.0.100,49920,Tcp,,,
"Sep 13, 2026 9:45:02 PM",sql-labuser,DnsConnectionInspected,168.63.129.16,53,,10.1.0.100,57193,Udp,,,
"Sep 13, 2026 9:45:02 PM",sql-labuser,SslConnectionInspected,72.153.5.96,443,,10.1.0.100,49917,Tcp,,,
"Sep 13, 2026 9:45:01 PM",sql-labuser,DnsConnectionInspected,168.63.129.16,53,,10.1.0.100,57193,Udp,,,
"Sep 13, 2026 9:45:01 PM",sql-labuser,SslConnectionInspected,23.209.57.176,443,,10.1.0.100,49914,Tcp,,,
"Sep 13, 2026 9:45:01 PM",sql-labuser,DnsConnectionInspected,168.63.129.16,53,,10.1.0.100,57193,Udp,,,
"Sep 13, 2026 9:45:01 PM",sql-labuser,ConnectionAcknowledged,172.202.65.10,443,,10.1.0.100,49921,TcpV4,,,
"Sep 13, 2026 9:45:01 PM",sql-labuser,ConnectionAcknowledged,104.208.170.163,443,,10.1.0.100,49920,TcpV4,,,
"Sep 13, 2026 9:45:01 PM",sql-labuser,SslConnectionInspected,23.222.201.169,443,,10.1.0.100,49906,Tcp,,,
"Sep 13, 2026 9:45:01 PM",sql-labuser,DnsConnectionInspected,168.63.129.16,53,,10.1.0.100,57193,Udp,,,
"Sep 13, 2026 9:45:00 PM",sql-labuser,ConnectionAcknowledged,72.153.5.96,443,,10.1.0.100,49917,TcpV4,,,
"Sep 13, 2026 9:44:59 PM",sql-labuser,ConnectionAcknowledged,23.209.57.176,443,,10.1.0.100,49914,TcpV4,,,
"Sep 13, 2026 9:44:58 PM",sql-labuser,ConnectionSuccess,172.202.65.10,443,eastus2-gas.guestconfiguration.azure.com,10.1.0.100,49921,Tcp,system,gc_worker.exe,gc_worker.exe -a AzureWindowsBaseline -c Compliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2
"Sep 13, 2026 9:44:58 PM",sql-labuser,SslConnectionInspected,23.222.197.219,443,,10.1.0.100,49902,Tcp,,,
"Sep 13, 2026 9:44:58 PM",sql-labuser,ConnectionAcknowledged,23.222.201.169,443,,10.1.0.100,49906,TcpV4,,,
"Sep 13, 2026 9:44:58 PM",sql-labuser,ConnectionSuccess,104.208.170.163,443,eastus2.prod.la.ingest.monitor.core.windows.net,10.1.0.100,49920,Tcp,system,monagentcore.exe,"  -deploymentdir ""C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.45.0.0\Monitoring\Agent"" -LocalPath ""C:\WindowsAzure\Resources\AMADataStore.SQL-labuser""  -mcsmode    -InitializedEvent ""AzureMonitorAgentExtension-StartAgentEventName""  -managerver 1  -parent 1188 -ShutDownEvent AzureMonitorAgentExtension-ShutdownEventName1248 -TotalShutDownEvent AzureMonitorAgentExtension-TotalShutdownEventName1248 -ConfigFile ""C:\WindowsAzure\Resources\AMADataStore.SQL-labuser\mcs\mcsconfig.latest.xml"" "
"Sep 13, 2026 9:44:58 PM",sql-labuser,ConnectionAcknowledged,23.222.197.219,443,,10.1.0.100,49902,TcpV4,,,
"Sep 13, 2026 9:44:58 PM",sql-labuser,SslConnectionInspected,72.153.5.60,443,,10.1.0.100,49901,Tcp,,,
"Sep 13, 2026 9:44:58 PM",sql-labuser,DnsConnectionInspected,168.63.129.16,53,,10.1.0.100,57193,Udp,,,
"Sep 13, 2026 9:44:58 PM",sql-labuser,DnsConnectionInspected,168.63.129.16,53,,10.1.0.100,57193,Udp,,,
"Sep 13, 2026 9:44:57 PM",sql-labuser,ConnectionAcknowledged,72.153.5.60,443,,10.1.0.100,49901,TcpV4,,,
"Sep 13, 2026 9:44:57 PM",sql-labuser,ConnectionSuccess,72.153.5.96,443,array502.prod.do.dsp.mp.microsoft.com,10.1.0.100,49917,Tcp,network service,svchost.exe,svchost.exe -k NetworkService -p
"Sep 13, 2026 9:44:57 PM",sql-labuser,ConnectionSuccess,23.209.57.176,443,disc501.prod.do.dsp.mp.microsoft.com,10.1.0.100,49914,Tcp,network service,svchost.exe,svchost.exe -k NetworkService -p
"Sep 13, 2026 9:44:57 PM",sql-labuser,ListeningConnectionCreated,,,,::,7680,TcpV6,network service,svchost.exe,svchost.exe -k NetworkService -p
"Sep 13, 2026 9:44:57 PM",sql-labuser,ConnectionSuccess,169.254.169.254,80,,10.1.0.100,49903,Tcp,system,gc_worker.exe,gc_worker.exe -a AzureWindowsBaseline -c Compliant -s inguest -g https://eastus2-gas.guestconfiguration.azure.com/virtualMachines/834a8374-a5e8-436d-91db-416d47cedad2
"Sep 13, 2026 9:44:57 PM",sql-labuser,ConnectionSuccess,23.222.197.219,443,kv501.prod.do.dsp.mp.microsoft.com,10.1.0.100,49902,Tcp,network service,svchost.exe,svchost.exe -k NetworkService -p
"Sep 13, 2026 9:44:57 PM",sql-labuser,ConnectionSuccess,72.153.5.60,443,geo.prod.do.dsp.mp.microsoft.com,10.1.0.100,49901,Tcp,network service,svchost.exe,svchost.exe -k NetworkService -p
"Sep 13, 2026 9:44:37 PM",sql-labuser,SslConnectionInspected,20.42.65.88,443,,10.1.0.100,49887,Tcp,,,
"Sep 13, 2026 9:44:37 PM",sql-labuser,ConnectionAcknowledged,52.168.117.174,443,,10.1.0.100,49888,TcpV4,,,
"Sep 13, 2026 9:44:37 PM",sql-labuser,ConnectionAcknowledged,20.42.65.88,443,,10.1.0.100,49887,TcpV4,,,
"Sep 13, 2026 9:44:37 PM",sql-labuser,DnsConnectionInspected,168.63.129.16,53,,10.1.0.100,57193,Udp,,,
"Sep 13, 2026 9:44:37 PM",sql-labuser,ConnectionSuccess,52.168.117.174,443,,10.1.0.100,49888,Tcp,system,mpdefendercoreservice.exe,MpDefenderCoreService.exe
"Sep 13, 2026 9:44:36 PM",sql-labuser,SslConnectionInspected,172.202.64.10,443,,10.1.0.100,49882,Tcp,,,
"Sep 13, 2026 9:44:36 PM",sql-labuser,ConnectionAcknowledged,172.202.64.10,443,,10.1.0.100,49882,TcpV4,,,
"Sep 13, 2026 9:44:36 PM",sql-labuser,DnsConnectionInspected,168.63.129.16,53,,10.1.0.100,57193,Udp,,,
"Sep 13, 2026 9:44:35 PM",sql-labuser,HttpConnectionInspected,169.254.169.254,80,,10.1.0.100,49876,Tcp,,,
"Sep 13, 2026 9:44:35 PM",sql-labuser,ConnectionSuccess,172.202.64.10,443,agentserviceapi.guestconfiguration.azure.com,10.1.0.100,49882,Tcp,system,gc_service.exe,"""gc_service.exe"" -k netsvcs"
"Sep 13, 2026 9:44:35 PM",sql-labuser,ConnectionSuccess,169.254.169.254,80,,10.1.0.100,49876,Tcp,system,gc_service.exe,"""gc_service.exe"" -k netsvcs"
"Sep 13, 2026 9:44:27 PM",sql-labuser,HttpConnectionInspected,146.75.30.172,80,,10.1.0.100,49875,Tcp,,,
"Sep 13, 2026 9:44:27 PM",sql-labuser,DnsConnectionInspected,168.63.129.16,53,,10.1.0.100,57193,Udp,,,
"Sep 13, 2026 9:44:27 PM",sql-labuser,ConnectionAcknowledged,146.75.30.172,80,,10.1.0.100,49875,TcpV4,,,
"Sep 13, 2026 9:44:27 PM",sql-labuser,ConnectionSuccess,146.75.30.172,80,ctldl.windowsupdate.com,10.1.0.100,49875,Tcp,network service,svchost.exe,svchost.exe -k NetworkService -p
"Sep 13, 2026 9:44:13 PM",sql-labuser,ConnectionSuccess,40.84.79.26,443,global.handler.control.monitor.azure.com,10.1.0.100,49867,Tcp,system,monagentcore.exe,"  -deploymentdir ""C:\Packages\Plugins\Microsoft.Azure.Monitor.AzureMonitorWindowsAgent\1.45.0.0\Monitoring\Agent"" -LocalPath ""C:\WindowsAzure\Resources\AMADataStore.SQL-labuser""  -mcsmode    -InitializedEvent ""AzureMonitorAgentExtension-StartAgentEventName""  -managerver 1  -parent 1188 -ShutDownEvent AzureMonitorAgentExtension-ShutdownEventName1248 -TotalShutDownEvent AzureMonitorAgentExtension-TotalShutdownEventName1248 -ConfigFile ""C:\WindowsAzure\Resources\AMADataStore.SQL-labuser\mcs\mcsconfig.latest.xml"" "
"Sep 13, 2026 9:44:05 PM",sql-labuser,SslConnectionInspected,40.84.79.26,443,,10.1.0.100,49859,Tcp,,,
"Sep 13, 2026 9:44:05 PM",sql-labuser,ConnectionAcknowledged,40.84.79.26,443,,10.1.0.100,49859,TcpV4,,,
"Sep 13, 2026 9:44:05 PM",sql-labuser,DnsConnectionInspected,168.63.129.16,53,,10.1.0.100,57193,Udp,,,
