TimeGenerated,AccountName,DeviceName,ProcessCommandLine,InitiatingProcessCommandLine,FolderPath,FileName
"Sep 15, 2026 12:21:23 AM",system,sql-labuser,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\149ae17f-1c51-47e8-90b8-8175a782d62b.ps1' }""","""SenseIR.exe"" ""OfflineSenseIR"" ""3992"" ""eyJDb21tYW5kSWQiOiIiLCJEb3dubG9hZEZpbGVBY3Rpb25Db25maWciOm51bGwsIkRvd25sb2FkVHJ1c3RlZENlcnRpZmljYXRlc0NoYWlucyI6bnVsbCwiRW5hYmxlU2xlZXBTdXNwZW5zaW9uIjowLCJNYXhXYWl0Rm9yTmV3QWN0aW9uc0luTXMiOjEyNjAwMDAsIk9yZ0lkIjoiIiwiUnVuUHNTY3JpcHRBY3Rpb25Db25maWciOnsiZW5hYmxlIjp0cnVlfSwiYWNjZXB0U2ltdWxhdG9yU2lnbmluZyI6MCwib2ZmbGluZUlyUGlwZUhhbmRsZSI6NDA5Mn0=""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe
"Sep 15, 2026 12:19:55 AM",system,sql-labuser,"""net.exe"" accounts","powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\cb7aec68-dfca-4632-88ad-5b019cb0957d.ps1' }""",C:\Windows\System32\net.exe,net.exe
"Sep 15, 2026 12:19:55 AM",system,sql-labuser,"cvtres.exe /NOLOGO /READONLY /MACHINE:IX86 ""/OUT:C:\Windows\SystemTemp\RES9D5C.tmp"" ""c:\Windows\SystemTemp\g042zxpz\CSCD3B33DE4C1264AABA4E13F9F9E3C6279.TMP""","""csc.exe"" /noconfig /fullpaths @""C:\Windows\SystemTemp\g042zxpz\g042zxpz.cmdline""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\cvtres.exe,cvtres.exe
"Sep 15, 2026 12:19:55 AM",system,sql-labuser,"""csc.exe"" /noconfig /fullpaths @""C:\Windows\SystemTemp\g042zxpz\g042zxpz.cmdline""","powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\cb7aec68-dfca-4632-88ad-5b019cb0957d.ps1' }""",C:\Windows\Microsoft.NET\Framework64\v4.0.30319\csc.exe,csc.exe
"Sep 15, 2026 12:19:43 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\cb7aec68-dfca-4632-88ad-5b019cb0957d.ps1' }""",C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:19:43 AM",system,sql-labuser,"powershell.exe -ExecutionPolicy AllSigned -NoProfile -NonInteractive -Command ""& {if ($ExecutionContext.SessionState.LanguageMode -eq 'FullLanguage') {$OutputEncoding = [Console]::OutputEncoding =[System.Text.Encoding]::UTF8}else {chcp 65001}; &  'C:\ProgramData\Microsoft\Windows Defender Advanced Threat Protection\DataCollection\8839.16685300.0.16685300-f8c8ffbe8abad62c9ee2ee38b06bf26edb5be29d\cb7aec68-dfca-4632-88ad-5b019cb0957d.ps1' }""","""SenseIR.exe"" ""OfflineSenseIR"" ""3992"" ""eyJDb21tYW5kSWQiOiIiLCJEb3dubG9hZEZpbGVBY3Rpb25Db25maWciOm51bGwsIkRvd25sb2FkVHJ1c3RlZENlcnRpZmljYXRlc0NoYWlucyI6bnVsbCwiRW5hYmxlU2xlZXBTdXNwZW5zaW9uIjowLCJNYXhXYWl0Rm9yTmV3QWN0aW9uc0luTXMiOjEyNjAwMDAsIk9yZ0lkIjoiIiwiUnVuUHNTY3JpcHRBY3Rpb25Db25maWciOnsiZW5hYmxlIjp0cnVlfSwiYWNjZXB0U2ltdWxhdG9yU2lnbmluZyI6MCwib2ZmbGluZUlyUGlwZUhhbmRsZSI6NDA5Mn0=""",C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,powershell.exe
"Sep 15, 2026 12:19:12 AM",network service,sql-labuser,sppsvc.exe,services.exe,C:\Windows\System32\sppsvc.exe,sppsvc.exe
"Sep 15, 2026 12:18:10 AM",system,sql-labuser,conhost.exe 0xffffffff -ForceV1,BfeToolWin8.exe,C:\Windows\System32\conhost.exe,conhost.exe
"Sep 15, 2026 12:18:10 AM",system,sql-labuser,BfeToolWin8.exe,WindowsAzureGuestAgent.exe,C:\WindowsAzure\Packages\BfeToolWin8.exe,BfeToolWin8.exe
"Sep 15, 2026 12:11:58 AM",system,sql-labuser,wmiprvse.exe -Embedding,svchost.exe -k DcomLaunch -p,C:\Windows\System32\wbem\WmiPrvSE.exe,WmiPrvSE.exe
